Part number,Part name,Additional name,Location,Total balance,Unit,WH,Serial number
1039555,"Locking ring QSM Ø80/77,4 t2",-Info: Lesjöfors art.7761,FLOOR,2.00,Pcs,WH1,
1039639,Tilt axial washer EC233/EC333,,FLOOR,2.00,Pcs,WH1,
1039687,Cylinder axle EC233/EC333,,FLOOR,2.00,Pcs,WH1,
1039899,Axial washer EC233/EC333,,FLOOR,4.00,Pcs,WH1,
1040001,Piston rod-tilt cylinder-EC204,-Info: Tilt cylinder 1029849,FLOOR,2.00,Pcs,WH1,
1040003,Piston tilt cylinder-EC204,-Info: Tilt cylinder 1029849,FLOOR,1.00,Pcs,WH1,
1040014,"Shim tilt axle - EC233 0,5mm",,FLOOR,2.00,Pcs,WH1,
1040340,Bucket GB13-600-1600-S60 support,-Info: for GRD60 (GRD20),FLOOR,1.00,Pcs,WH1,EC086841
1040340,Bucket GB13-600-1600-S60 support,-Info: for GRD60 (GRD20),FLOOR,1.00,Pcs,WH1,EC086842
1040340,Bucket GB13-600-1600-S60 support,-Info: for GRD60 (GRD20),FLOOR,1.00,Pcs,WH1,EC086843
1040340,Bucket GB13-600-1600-S60 support,-Info: for GRD60 (GRD20),FLOOR,1.00,Pcs,WH1,EC086844
1040340,Bucket GB13-600-1600-S60 support,-Info: for GRD60 (GRD20),FLOOR,1.00,Pcs,WH1,EC086845
1040340,Bucket GB13-600-1600-S60 support,-Info: for GRD60 (GRD20),FLOOR,1.00,Pcs,WH1,EC086846
1040340,Bucket GB13-600-1600-S60 support,-Info: for GRD60 (GRD20),FLOOR,1.00,Pcs,WH1,EC086847
1040340,Bucket GB13-600-1600-S60 support,-Info: for GRD60 (GRD20),FLOOR,1.00,Pcs,WH1,EC086848
1040340,Bucket GB13-600-1600-S60 support,-Info: for GRD60 (GRD20),FLOOR,1.00,Pcs,WH1,EC086849
1040340,Bucket GB13-600-1600-S60 support,-Info: for GRD60 (GRD20),FLOOR,1.00,Pcs,WH1,EC086850
1040358,Inductive sensor M12 DTM04-3P - hook QSC - 645mm,,FLOOR,2.00,Pcs,WH1,
1040359,Inductive sensor M12 DTM04-3P - Locking cylinder QSC - 645mm,,FLOOR,2.00,Pcs,WH1,
1040382,Mounting plate-Cabin module-STD-UNI,,FLOOR,4.00,Pcs,WH1,
1040756,"Drive rivet KDS-SMS 1549 2,5x6 A2",,FLOOR,12.00,Pcs,WH1,
1040762,Lubrication kit EC206 dosing block MX-F 4/7 V2,,FLOOR,1.00,Pcs,WH1,
1041097,Attachment block ECO45 W-top bracket,,FLOOR,2.00,Pcs,WH1,
1041098,Cover plate Power plug-ECO45 W-quick hitch,,FLOOR,2.00,Pcs,WH1,
1041099,Cover plate Power plug-ECO45/50 W-top bracket,,FLOOR,2.00,Pcs,WH1,
1041139,Cover plate Power plug-ECO60/70 W-quick hitch,,FLOOR,2.00,Pcs,WH1,
1041140,Cover plate Power plug-ECO60 W-top bracket,,FLOOR,2.00,Pcs,WH1,
1041412,Tilt cylinder EC209 for overcenter 730269,-Info: No plug function to run without over center valves,FLOOR,2.00,Pcs,WH1,
